BootArgs: Version=2, Revision=0, at 0xffffff8003f4d000
CommandLine: keepsyms=y -v debug=0x14e kext-dev-mode=1
Video: baseAddr=0x90010000, display=2, rowBytes=6912, width=1680, height=1050, depth=32
DevTree: addr=0x3f52000, length=0x12394
Kernel image: kaddr=0x300000, ksize=0x3d07000
EFI Runtime: Mode=64, PageStart=0x3f65 (0x3f65000), PageCount=0x9f, SystemTable=0x3f95f18
MemoryMap: Size=0x1f50, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
available  0000000000000000 - 000000000008efff 000000000000008f 0000000000000000 080000000000000f
reserved   000000000008f000 - 000000000008ffff 0000000000000001 0000000000000000 080000000000000f
available  0000000000090000 - 000000000009ffff 0000000000000010 0000000000000000 080000000000000f
reserved   00000000000a0000 - 00000000000bffff 0000000000000020 0000000000000000 0000000000000000
available  0000000000100000 - 00000000002fffff 0000000000000200 0000000000000000 000000000000000f
LoaderData 0000000000300000 - 0000000000312fff 0000000000000013 0000000000000000 000000000000000f
available  0000000000313000 - 00000000003fffff 00000000000000ed 0000000000000000 000000000000000f
LoaderData 0000000000400000 - 0000000003f64fff 0000000000003b65 0000000000000000 000000000000000f
RT_data    0000000003f65000 - 0000000003f95fff 0000000000000031 ffffff8003f65000 800000000000000f
RT_code    0000000003f96000 - 0000000003fbcfff 0000000000000027 ffffff8003f96000 800000000000000f
RT_data    0000000003fbd000 - 0000000003fbdfff 0000000000000001 ffffff8003fbd000 800000000000000f
LoaderData 0000000003fbe000 - 0000000004006fff 0000000000000049 0000000000000000 000000000000000f
available  0000000004007000 - 000000001fffffff 000000000001bff9 0000000000000000 000000000000000f
reserved   0000000020000000 - 00000000201fffff 0000000000000200 0000000000000000 000000000000000f
available  0000000020200000 - 000000003fffffff 000000000001fe00 0000000000000000 000000000000000f
reserved   0000000040000000 - 00000000401fffff 0000000000000200 0000000000000000 000000000000000f
available  0000000040200000 - 000000008778cfff 000000000004758d 0000000000000000 000000000000000f
LoaderCode 000000008778d000 - 000000008781cfff 0000000000000090 0000000000000000 000000000000000f
available  000000008781d000 - 0000000087860fff 0000000000000044 0000000000000000 000000000000000f
BS_data    0000000087861000 - 00000000885d3fff 0000000000000d73 0000000000000000 000000000000000f
available  00000000885d4000 - 00000000885f3fff 0000000000000020 0000000000000000 000000000000000f
BS_data    00000000885f4000 - 0000000089132fff 0000000000000b3f 0000000000000000 000000000000000f
available  0000000089133000 - 0000000089133fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000089134000 - 000000008913cfff 0000000000000009 0000000000000000 000000000000000f
LoaderCode 000000008913d000 - 000000008913dfff 0000000000000001 0000000000000000 000000000000000f
available  000000008913e000 - 000000008913ffff 0000000000000002 0000000000000000 000000000000000f
BS_data    0000000089140000 - 0000000089173fff 0000000000000034 0000000000000000 000000000000000f
available  0000000089174000 - 0000000089175fff 0000000000000002 0000000000000000 000000000000000f
